TOA,Delta TOA,PW,power,angle
127.0,58.0,0.3,1.4,3
244.0,37.0,0.3,1.4,3
361.0,16.0,0.3,1.4,3
478.0,64.0,0.3,1.4,3
595.0,43.0,0.3,1.4,3
712.0,22.0,0.3,1.4,3
829.0,1.0,0.3,1.4,3
946.0,49.0,0.3,1.4,3
1063.0,28.0,0.3,1.4,3
1180.0,7.0,0.3,1.4,3
1252.0,10.0,0.3,1.4,3
1324.0,13.0,0.3,1.4,3
1396.0,16.0,0.3,1.4,3
1468.0,19.0,0.3,1.4,3
1540.0,22.0,0.3,1.4,3
1612.0,25.0,0.3,1.4,3
1684.0,28.0,0.3,1.4,3
1756.0,31.0,0.3,1.4,3
1828.0,34.0,0.3,1.4,3
1900.0,37.0,0.3,1.4,3
2044.0,43.0,0.3,1.4,3
2188.0,118.0,0.3,1.4,3
2332.0,101.0,0.3,1.4,3
2476.0,84.0,0.3,1.4,3
2620.0,67.0,0.3,1.4,3
2764.0,50.0,0.3,1.4,3
2908.0,33.0,0.3,1.4,3
3052.0,16.0,0.3,1.4,3
7120.0,36.0,0.3,1.4,3
7435.0,29.0,0.3,1.4,3
7750.0,22.0,0.3,1.4,3
8065.0,15.0,0.3,1.4,3
8380.0,100.0,0.3,1.4,3
8695.0,93.0,0.3,1.4,3
9010.0,86.0,0.3,1.4,3
72100.0,18.0,0.3,1.4,3
72244.0,24.0,0.3,1.4,3
72388.0,30.0,0.3,1.4,3
72532.0,82.0,0.3,1.4,3
93106.0,2.0,0.3,1.4,3
93232.0,36.0,0.3,1.4,3
93358.0,24.0,0.3,1.4,3
93484.0,12.0,0.3,1.4,3
93727.0,25.0,0.3,1.4,3
93844.0,4.0,0.3,1.4,3
114886.0,24.0,0.3,1.4,3
115030.0,30.0,0.3,1.4,3
115174.0,36.0,0.3,1.4,3
115318.0,88.0,0.3,1.4,3
789.0,145.0,0.3,1.4,3
1104.0,138.0,0.3,1.4,3
1419.0,131.0,0.3,1.4,3
1734.0,124.0,0.3,1.4,3
63987.0,1.0,0.3,1.4,3
64104.0,26.0,0.3,1.4,3
64176.0,6.0,0.3,1.4,3
64248.0,32.0,0.3,1.4,3
64320.0,12.0,0.3,1.4,3
64392.0,38.0,0.3,1.4,3
64464.0,18.0,0.3,1.4,3
64536.0,44.0,0.3,1.4,3
64608.0,24.0,0.3,1.4,3
64680.0,4.0,0.3,1.4,3
64752.0,30.0,0.3,1.4,3
64824.0,10.0,0.3,1.4,3
85452.0,30.0,0.3,1.4,3
85578.0,18.0,0.3,1.4,3
85704.0,6.0,0.3,1.4,3
85830.0,40.0,0.3,1.4,3
85956.0,28.0,0.3,1.4,3
86082.0,16.0,0.3,1.4,3
86208.0,4.0,0.3,1.4,3
107322.0,4.0,0.3,1.4,3
107466.0,10.0,0.3,1.4,3
107610.0,16.0,0.3,1.4,3
48517.0,10.0,0.3,1.4,3
48634.0,35.0,0.3,1.4,3
48751.0,14.0,0.3,1.4,3
48868.0,39.0,0.3,1.4,3
48985.0,18.0,0.3,1.4,3
49057.0,44.0,0.3,1.4,3
49129.0,24.0,0.3,1.4,3
49201.0,4.0,0.3,1.4,3
