TOA,Delta TOA,PW,power,angle
192,0,0.3,1.4,57
489,49,0.3,1.4,57
1002,62,0.3,1.4,57
1623,93,0.3,1.4,57
2082,42,0.3,1.4,57
2595,5,0.3,1.4,57
3216,156,0.3,1.4,57
3378,63,0.3,1.4,57
3675,105,0.3,1.4,57
4188,108,0.3,1.4,57
4809,69,0.3,1.4,57
4971,121,0.3,1.4,57
5268,98,0.3,1.4,57
5781,11,0.3,1.4,57
6402,27,0.3,1.4,57
6564,104,0.3,1.4,57
6861,171,0.3,1.4,57
7374,54,0.3,1.4,57
7995,90,0.3,1.4,57
8454,39,0.3,1.4,57
8967,42,0.3,1.4,57
9588,118,0.3,1.4,57
9750,60,0.3,1.4,57
10047,102,0.3,1.4,57
10560,105,0.3,1.4,57
11181,121,0.3,1.4,57
11343,53,0.3,1.4,57
11640,20,0.3,1.4,57
12153,103,0.3,1.4,57
12774,24,0.3,1.4,57
12936,26,0.3,1.4,57
13233,103,0.3,1.4,57
13746,231,0.3,1.4,57
14367,87,0.3,1.4,57
14826,36,0.3,1.4,57
15339,39,0.3,1.4,57
15960,40,0.3,1.4,57
16122,57,0.3,1.4,57
16419,69,0.3,1.4,57
16932,102,0.3,1.4,57
17553,53,0.3,1.4,57
17715,75,0.3,1.4,57
18012,162,0.3,1.4,57
18525,25,0.3,1.4,57
19146,21,0.3,1.4,57
19605,35,0.3,1.4,57
20118,228,0.3,1.4,57
20739,84,0.3,1.4,57
21198,18,0.3,1.4,57
21711,36,0.3,1.4,57
22332,2,0.3,1.4,57
22494,54,0.3,1.4,57
22791,96,0.3,1.4,57
23304,54,0.3,1.4,57
23925,210,0.3,1.4,57
24087,117,0.3,1.4,57
24384,159,0.3,1.4,57
24897,37,0.3,1.4,57
25518,18,0.3,1.4,57
25977,167,0.3,1.4,57
26490,225,0.3,1.4,57
27111,11,0.3,1.4,57
27570,30,0.3,1.4,57
28083,33,0.3,1.4,57
28704,144,0.3,1.4,57
28866,46,0.3,1.4,57
29163,93,0.3,1.4,57
29676,96,0.3,1.4,57
30297,187,0.3,1.4,57
30459,79,0.3,1.4,57
30756,146,0.3,1.4,57
31269,159,0.3,1.4,57
31890,15,0.3,1.4,57
32349,89,0.3,1.4,57
32862,172,0.3,1.4,57
33483,78,0.3,1.4,57
33645,95,0.3,1.4,57
33942,27,0.3,1.4,57
34455,30,0.3,1.4,57
35076,96,0.3,1.4,57
35238,28,0.3,1.4,57
35535,90,0.3,1.4,57
36048,93,0.3,1.4,57
36669,109,0.3,1.4,57
36831,11,0.3,1.4,57
37128,78,0.3,1.4,57
37641,156,0.3,1.4,57
38262,12,0.3,1.4,57
38424,144,0.3,1.4,57
38721,11,0.3,1.4,57
39234,94,0.3,1.4,57
39855,45,0.3,1.4,57
40017,17,0.3,1.4,57
40314,24,0.3,1.4,57
40827,27,0.3,1.4,57
41448,28,0.3,1.4,57
41610,45,0.3,1.4,57
41907,87,0.3,1.4,57
42420,80,0.3,1.4,57
43041,31,0.3,1.4,57
43203,108,0.3,1.4,57
43500,10,0.3,1.4,57
44013,143,0.3,1.4,57
44634,9,0.3,1.4,57
44796,66,0.3,1.4,57
45093,213,0.3,1.4,57
45606,16,0.3,1.4,57
46227,72,0.3,1.4,57
46389,139,0.3,1.4,57
46686,21,0.3,1.4,57
47199,24,0.3,1.4,57
47820,80,0.3,1.4,57
47982,42,0.3,1.4,57
48279,84,0.3,1.4,57
48792,12,0.3,1.4,57
49413,198,0.3,1.4,57
49575,105,0.3,1.4,57
49872,147,0.3,1.4,57
50385,65,0.3,1.4,57
51006,6,0.3,1.4,57
51465,285,0.3,1.4,57
51978,208,0.3,1.4,57
52599,69,0.3,1.4,57
52761,71,0.3,1.4,57
53058,18,0.3,1.4,57
53571,21,0.3,1.4,57
54192,2,0.3,1.4,57
54354,39,0.3,1.4,57
54651,31,0.3,1.4,57
55164,84,0.3,1.4,57
55785,195,0.3,1.4,57
55947,37,0.3,1.4,57
56244,104,0.3,1.4,57
56757,147,0.3,1.4,57
57378,3,0.3,1.4,57
57837,207,0.3,1.4,57
58350,140,0.3,1.4,57
58971,51,0.3,1.4,57
59133,3,0.3,1.4,57
59430,15,0.3,1.4,57
59943,18,0.3,1.4,57
60564,129,0.3,1.4,57
60726,36,0.3,1.4,57
61023,53,0.3,1.4,57
61536,36,0.3,1.4,57
62157,192,0.3,1.4,57
62319,99,0.3,1.4,57
62616,36,0.3,1.4,57
63129,144,0.3,1.4,57
64209,129,0.3,1.4,57
64722,72,0.3,1.4,57
65343,3,0.3,1.4,57
65505,135,0.3,1.4,57
65802,2,0.3,1.4,57
66315,15,0.3,1.4,57
66936,126,0.3,1.4,57
67098,8,0.3,1.4,57
67395,75,0.3,1.4,57
67908,78,0.3,1.4,57
68529,149,0.3,1.4,57
68691,96,0.3,1.4,57
68988,138,0.3,1.4,57
69501,141,0.3,1.4,57
70122,22,0.3,1.4,57
70284,114,0.3,1.4,57
70581,51,0.3,1.4,57
71094,4,0.3,1.4,57
71715,60,0.3,1.4,57
71877,57,0.3,1.4,57
72174,9,0.3,1.4,57
72687,7,0.3,1.4,57
73308,123,0.3,1.4,57
73470,30,0.3,1.4,57
73767,72,0.3,1.4,57
74280,75,0.3,1.4,57
74901,71,0.3,1.4,57
75063,93,0.3,1.4,57
75360,100,0.3,1.4,57
75873,138,0.3,1.4,57
76494,114,0.3,1.4,57
76656,46,0.3,1.4,57
76953,198,0.3,1.4,57
77466,56,0.3,1.4,57
78087,57,0.3,1.4,57
78249,29,0.3,1.4,57
78546,6,0.3,1.4,57
79059,9,0.3,1.4,57
