TOA,Delta TOA,PW,power,angle
1394.7,241.5,0.6,2.4,52
2714.4,-48.8,0.6,2.4,52
3924.1,53.2,0.6,2.4,52
5298.7,-239.7,0.6,2.4,52
6673.4,-562.7,0.6,2.4,52
7965.5,-408.4,0.6,2.4,52
9230.2,-829.3,0.6,2.4,52
10412.4,-742.7,0.6,2.4,52
11649.6,-595.1,0.6,2.4,52
12969.3,-918.9,0.6,2.4,52
14151.5,-826.3,0.6,2.4,52
15498.6,-604.9,0.6,2.4,52
16790.8,-992.3,0.6,2.4,52
17973.0,-899.7,0.6,2.4,52
19320.1,-1244.3,0.6,2.4,52
20612.3,-1035.7,0.6,2.4,52
21849.5,-1460.0,0.6,2.4,52
23141.7,-1257.4,0.6,2.4,52
24406.3,-1624.2,0.6,2.4,52
25616.0,-1528.2,0.6,2.4,52
26825.7,-1402.1,0.6,2.4,52
28035.4,-1866.0,0.6,2.4,52
29382.6,-1698.7,0.6,2.4,52
30674.7,-2062.1,0.6,2.4,52
31884.4,-2014.3,0.6,2.4,52
33231.6,-2364.7,0.6,2.4,52
34468.8,-2247.2,0.6,2.4,52
35678.5,-2151.2,0.6,2.4,52
36943.1,-2572.2,0.6,2.4,52
38235.3,-2441.9,0.6,2.4,52
39500.0,-2874.8,0.6,2.4,52
40737.2,-2721.2,0.6,2.4,52
41946.9,-2655.3,0.6,2.4,52
43211.6,-2504.3,0.6,2.4,52
44476.2,-2937.4,0.6,2.4,52
45713.4,-3385.8,0.6,2.4,52
47060.6,-3146.2,0.6,2.4,52
48352.7,-3539.7,0.6,2.4,52
49727.4,-3844.6,0.6,2.4,52
51074.6,-4219.1,0.6,2.4,52
52421.7,-3991.8,0.6,2.4,52
53768.9,-4263.9,0.6,2.4,52
55116.0,-3994.4,0.6,2.4,52
56435.7,-4390.4,0.6,2.4,52
57782.8,-4151.0,0.6,2.4,52
59102.5,-4498.8,0.6,2.4,52
60339.7,-4369.3,0.6,2.4,52
61576.9,-4853.8,0.6,2.4,52
62951.5,-5134.7,0.6,2.4,52
64133.7,-5096.3,0.6,2.4,52
65370.9,-5015.0,0.6,2.4,52
66745.6,-5325.9,0.6,2.4,52
68120.2,-5095.1,0.6,2.4,52
69329.9,-5607.1,0.6,2.4,52
70677.1,-5427.8,0.6,2.4,52
71941.7,-5866.8,0.6,2.4,52
73151.4,-5788.9,0.6,2.4,52
74416.1,-5649.9,0.6,2.4,52
75735.8,-6045.9,0.6,2.4,52
77110.4,-5761.0,0.6,2.4,52
78457.6,-6057.2,0.6,2.4,52
79832.2,-6398.3,0.6,2.4,52
81124.4,-6231.9,0.6,2.4,52
82471.6,-6510.1,0.6,2.4,52
83763.7,-6915.6,0.6,2.4,52
85138.4,-6660.6,0.6,2.4,52
86320.6,-7242.3,0.6,2.4,52
87612.7,-7021.7,0.6,2.4,52
88959.9,-7348.1,0.6,2.4,52
90334.6,-7653.0,0.6,2.4,52
91681.7,-7449.7,0.6,2.4,52
92891.4,-7371.7,0.6,2.4,52
94183.6,-7765.1,0.6,2.4,52
95393.3,-7663.1,0.6,2.4,52
96575.5,-7600.6,0.6,2.4,52
97895.1,-7978.7,0.6,2.4,52
99187.3,-8366.1,0.6,2.4,52
100369.5,-8309.6,0.6,2.4,52
101634.2,-8206.8,0.6,2.4,52
102981.3,-8509.1,0.6,2.4,52
104191.0,-8431.2,0.6,2.4,52
105565.7,-8712.0,0.6,2.4,52
106940.3,-9035.0,0.6,2.4,52
108315.0,-9339.9,0.6,2.4,52
109579.7,-9736.7,0.6,2.4,52
110816.8,-9571.2,0.6,2.4,52
112191.5,-9900.2,0.6,2.4,52
113483.7,-9709.6,0.6,2.4,52
114858.3,-10050.7,0.6,2.4,52
116178.0,-9904.9,0.6,2.4,52
117387.7,-9833.0,0.6,2.4,52
118652.3,-10266.0,0.6,2.4,52
119862.0,-10194.1,0.6,2.4,52
121154.2,-10569.5,0.6,2.4,52
122336.4,-10494.9,0.6,2.4,52
123656.1,-10818.7,0.6,2.4,52
125030.7,-10551.8,0.6,2.4,52
126295.4,-10996.8,0.6,2.4,52
127477.6,-10928.3,0.6,2.4,52
128824.8,-11290.7,0.6,2.4,52
130199.4,-11078.0,0.6,2.4,52
131574.1,-11358.8,0.6,2.4,52
132783.7,-11268.9,0.6,2.4,52
