TOA,Delta TOA,PW,power,angle
392.4,0.0,0.5,1.9,37
751.1,197.2,0.5,1.9,37
1153.2,57.5,0.5,1.9,37
1559.3,164.6,0.5,1.9,37
1894.3,226.7,0.5,1.9,37
2300.4,91.0,0.5,1.9,37
3037.5,323.1,0.5,1.9,37
3372.6,61.6,0.5,1.9,37
4058.5,134.4,0.5,1.9,37
5509.1,210.4,0.5,1.9,37
6924.3,250.9,0.5,1.9,37
8028.1,62.6,0.5,1.9,37
9537.9,307.7,0.5,1.9,37
10657.4,245.0,0.5,1.9,37
11757.2,107.6,0.5,1.9,37
13219.7,250.4,0.5,1.9,37
14378.6,227.1,0.5,1.9,37
15525.8,27.2,0.5,1.9,37
16893.6,102.8,0.5,1.9,37
18021.0,48.0,0.5,1.9,37
19530.8,210.7,0.5,1.9,37
20634.6,22.3,0.5,1.9,37
22140.4,290.9,0.5,1.9,37
23224.5,82.8,0.5,1.9,37
24722.4,316.1,0.5,1.9,37
25845.9,229.9,0.5,1.9,37
26890.5,64.8,0.5,1.9,37
28266.3,230.9,0.5,1.9,37
29397.7,15.1,0.5,1.9,37
30958.7,284.0,0.5,1.9,37
32066.4,182.0,0.5,1.9,37
33588.0,356.4,0.5,1.9,37
34652.3,183.5,0.5,1.9,37
35736.4,57.9,0.5,1.9,37
37254.1,311.0,0.5,1.9,37
38365.7,130.4,0.5,1.9,37
39847.9,347.9,0.5,1.9,37
41002.9,265.7,0.5,1.9,37
42126.4,179.5,0.5,1.9,37
43214.4,2.8,0.5,1.9,37
44633.5,157.3,0.5,1.9,37
46017.1,303.7,0.5,1.9,37
47136.7,76.1,0.5,1.9,37
48614.9,262.2,0.5,1.9,37
50002.5,275.1,0.5,1.9,37
51401.9,327.3,0.5,1.9,37
52588.4,166.7,0.5,1.9,37
54023.3,254.4,0.5,1.9,37
55154.7,38.7,0.5,1.9,37
56672.4,236.7,0.5,1.9,37
57811.6,28.8,0.5,1.9,37
59317.4,214.9,0.5,1.9,37
60377.8,38.1,0.5,1.9,37
61871.9,295.0,0.5,1.9,37
63302.8,351.3,0.5,1.9,37
64386.9,253.2,0.5,1.9,37
65569.5,198.6,0.5,1.9,37
67079.2,333.6,0.5,1.9,37
68159.3,39.1,0.5,1.9,37
69661.2,331.3,0.5,1.9,37
70816.3,139.2,0.5,1.9,37
72223.5,281.8,0.5,1.9,37
73335.2,183.8,0.5,1.9,37
74498.1,82.0,0.5,1.9,37
75980.3,244.5,0.5,1.9,37
77139.2,28.8,0.5,1.9,37
78625.4,167.8,0.5,1.9,37
80135.1,302.9,0.5,1.9,37
81203.4,79.0,0.5,1.9,37
82693.5,221.9,0.5,1.9,37
84096.9,333.2,0.5,1.9,37
85153.3,14.9,0.5,1.9,37
86651.3,330.7,0.5,1.9,37
87762.9,150.2,0.5,1.9,37
89233.3,273.4,0.5,1.9,37
90727.3,392.7,0.5,1.9,37
91850.8,169.1,0.5,1.9,37
92926.9,35.5,0.5,1.9,37
94365.8,182.2,0.5,1.9,37
95461.6,68.3,0.5,1.9,37
96628.5,53.0,0.5,1.9,37
98079.1,184.0,0.5,1.9,37
99470.7,283.4,0.5,1.9,37
100582.3,212.8,0.5,1.9,37
101678.2,44.0,0.5,1.9,37
103101.2,119.9,0.5,1.9,37
104193.2,2.2,0.5,1.9,37
105608.3,42.6,0.5,1.9,37
107035.3,95.0,0.5,1.9,37
108493.9,178.9,0.5,1.9,37
109897.2,317.5,0.5,1.9,37
110981.3,164.5,0.5,1.9,37
112491.1,299.6,0.5,1.9,37
113555.4,71.7,0.5,1.9,37
115053.4,195.1,0.5,1.9,37
116216.3,38.3,0.5,1.9,37
117402.8,15.1,0.5,1.9,37
118794.3,142.0,0.5,1.9,37
119969.1,107.1,0.5,1.9,37
121403.9,249.7,0.5,1.9,37
122476.2,139.8,0.5,1.9,37
123970.2,314.1,0.5,1.9,37
125089.7,59.0,0.5,1.9,37
126532.5,237.1,0.5,1.9,37
127640.2,162.6,0.5,1.9,37
129169.7,344.9,0.5,1.9,37
130344.4,145.0,0.5,1.9,37
131873.9,299.8,0.5,1.9,37
133088.0,304.3,0.5,1.9,37
134223.3,257.4,0.5,1.9,37
135575.4,317.3,0.5,1.9,37
136679.2,128.9,0.5,1.9,37
137747.5,15.0,0.5,1.9,37
139182.4,75.3,0.5,1.9,37
140668.5,241.7,0.5,1.9,37
141839.3,202.8,0.5,1.9,37
142982.4,108.7,0.5,1.9,37
144401.6,318.2,0.5,1.9,37
145481.7,23.7,0.5,1.9,37
146967.8,300.1,0.5,1.9,37
147984.8,52.4,0.5,1.9,37
149396.1,171.5,0.5,1.9,37
150878.3,361.6,0.5,1.9,37
151942.6,161.2,0.5,1.9,37
153389.3,233.2,0.5,1.9,37
154449.7,1.5,0.5,1.9,37
155931.9,191.5,0.5,1.9,37
157374.7,342.1,0.5,1.9,37
158569.1,189.4,0.5,1.9,37
159755.7,56.3,0.5,1.9,37
161297.0,332.9,0.5,1.9,37
162467.8,239.1,0.5,1.9,37
163571.5,23.1,0.5,1.9,37
165093.1,197.5,0.5,1.9,37
166232.4,99.6,0.5,1.9,37
167710.6,230.7,0.5,1.9,37
168794.7,77.6,0.5,1.9,37
170249.3,157.6,0.5,1.9,37
171396.4,67.5,0.5,1.9,37
172918.0,324.4,0.5,1.9,37
174080.9,305.1,0.5,1.9,37
175224.1,156.1,0.5,1.9,37
176726.0,283.4,0.5,1.9,37
177853.4,201.1,0.5,1.9,37
179284.3,339.8,0.5,1.9,37
180332.9,151.2,0.5,1.9,37
181456.4,37.5,0.5,1.9,37
182828.2,227.1,0.5,1.9,37
184239.4,263.7,0.5,1.9,37
185335.3,122.4,0.5,1.9,37
186715.0,292.4,0.5,1.9,37
187830.6,60.9,0.5,1.9,37
189332.5,215.6,0.5,1.9,37
190759.5,350.4,0.5,1.9,37
191819.9,146.1,0.5,1.9,37
193266.6,300.7,0.5,1.9,37
194378.2,65.1,0.5,1.9,37
195876.2,243.5,0.5,1.9,37
196999.7,19.8,0.5,1.9,37
198466.1,304.0,0.5,1.9,37
199593.5,139.2,0.5,1.9,37
201071.8,325.4,0.5,1.9,37
202238.6,200.0,0.5,1.9,37
203346.3,15.5,0.5,1.9,37
204844.3,221.3,0.5,1.9,37
205936.2,76.1,0.5,1.9,37
207394.7,187.4,0.5,1.9,37
208857.2,275.3,0.5,1.9,37
210039.8,83.2,0.5,1.9,37
211462.9,324.1,0.5,1.9,37
212535.1,21.7,0.5,1.9,37
213946.3,168.2,0.5,1.9,37
215089.5,46.7,0.5,1.9,37
216630.8,268.3,0.5,1.9,37
217778.0,123.4,0.5,1.9,37
219287.7,258.4,0.5,1.9,37
220395.4,19.0,0.5,1.9,37
221897.3,146.2,0.5,1.9,37
223032.6,71.8,0.5,1.9,37
224506.9,226.4,0.5,1.9,37
225559.5,41.9,0.5,1.9,37
227021.9,267.1,0.5,1.9,37
228165.1,228.1,0.5,1.9,37
229639.4,355.2,0.5,1.9,37
230719.5,253.1,0.5,1.9,37
231847.0,6.0,0.5,1.9,37
233317.3,101.6,0.5,1.9,37
234838.9,303.6,0.5,1.9,37
235895.4,12.9,0.5,1.9,37
237314.5,57.4,0.5,1.9,37
238859.8,228.0,0.5,1.9,37
239979.3,110.3,0.5,1.9,37
241394.5,288.3,0.5,1.9,37
242514.0,198.1,0.5,1.9,37
243913.4,305.4,0.5,1.9,37
245103.9,313.7,0.5,1.9,37
246168.2,85.8,0.5,1.9,37
247283.8,19.2,0.5,1.9,37
248738.4,236.6,0.5,1.9,37
249889.5,205.5,0.5,1.9,37
251359.9,301.3,0.5,1.9,37
252491.2,250.4,0.5,1.9,37
253579.2,46.2,0.5,1.9,37
255061.4,153.7,0.5,1.9,37
256141.5,24.2,0.5,1.9,37
257667.1,312.6,0.5,1.9,37
258794.5,175.3,0.5,1.9,37
260280.6,314.2,0.5,1.9,37
261412.0,153.5,0.5,1.9,37
262842.9,237.2,0.5,1.9,37
264277.8,352.4,0.5,1.9,37
265354.0,219.0,0.5,1.9,37
266438.0,38.3,0.5,1.9,37
267872.9,291.0,0.5,1.9,37
268976.7,130.1,0.5,1.9,37
270100.1,16.3,0.5,1.9,37
271574.4,308.4,0.5,1.9,37
272642.7,2.1,0.5,1.9,37
274105.2,282.4,0.5,1.9,37
275481.0,311.0,0.5,1.9,37
276533.5,43.8,0.5,1.9,37
278015.7,288.9,0.5,1.9,37
279127.3,25.8,0.5,1.9,37
280514.9,231.2,0.5,1.9,37
281662.0,141.1,0.5,1.9,37
283179.7,394.1,0.5,1.9,37
284283.4,205.7,0.5,1.9,37
285678.9,281.5,0.5,1.9,37
287105.9,333.9,0.5,1.9,37
288126.9,172.7,0.5,1.9,37
289573.6,272.2,0.5,1.9,37
290634.0,150.4,0.5,1.9,37
1450.7,273.6,0.5,1.9,37
2550.5,108.7,0.5,1.9,37
4068.2,251.8,0.5,1.9,37
5093.1,12.0,0.5,1.9,37
6535.9,162.6,0.5,1.9,37
7955.0,289.6,0.5,1.9,37
9338.6,326.0,0.5,1.9,37
10371.5,11.7,0.5,1.9,37
11837.9,131.0,0.5,1.9,37
13016.5,44.9,0.5,1.9,37
14451.4,242.6,0.5,1.9,37
15555.2,136.7,0.5,1.9,37
17017.7,279.6,0.5,1.9,37
18145.1,142.3,0.5,1.9,37
19189.7,4.7,0.5,1.9,37
20644.3,84.6,0.5,1.9,37
22095.0,325.6,0.5,1.9,37
23242.1,125.6,0.5,1.9,37
