TOA,Delta TOA,PW,power,angle
1414.7,18.7,0.6,2.4,52
2734.4,20.4,0.6,2.4,52
3944.1,53.2,0.6,2.4,52
5318.7,28.7,0.6,2.4,52
6693.4,99.9,0.6,2.4,52
7985.5,27.5,0.6,2.4,52
9250.2,74.7,0.6,2.4,52
10432.4,126.4,0.6,2.4,52
11669.6,-152.4,0.6,2.4,52
12989.3,37.3,0.6,2.4,52
14171.5,139.5,0.6,2.4,52
15518.6,-2996.4,0.6,2.4,52
16810.8,78.8,0.6,2.4,52
17993.0,118.0,0.6,2.4,52
19340.1,20.1,0.6,2.4,52
20632.3,47.9,0.6,2.4,52
21869.5,7.5,0.6,2.4,52
23161.7,3.7,0.6,2.4,52
25636.0,48.0,0.6,2.4,52
26845.7,-156.3,0.6,2.4,52
28055.4,37.4,0.6,2.4,52
29402.6,8.6,0.6,2.4,52
30694.7,58.7,0.6,2.4,52
31904.4,124.4,0.6,2.4,52
33251.6,22.0,0.6,2.4,52
34488.8,8.8,0.6,2.4,52
35698.5,3.5,0.6,2.4,52
36963.1,35.1,0.6,2.4,52
38255.3,-1189.7,0.6,2.4,52
39520.0,9.0,0.6,2.4,52
40757.2,4.2,0.6,2.4,52
41966.9,61.9,0.6,2.4,52
43231.6,37.6,0.6,2.4,52
44496.2,60.2,0.6,2.4,52
45733.4,43.2,0.6,2.4,52
47080.6,36.6,0.6,2.4,52
48372.7,-19.3,0.6,2.4,52
49747.4,21.4,0.6,2.4,52
51094.6,27.5,0.6,2.4,52
52441.7,93.7,0.6,2.4,52
53788.9,76.7,0.6,2.4,52
55136.0,212.0,0.6,2.4,52
56455.7,22.2,0.6,2.4,52
57802.8,-341.2,0.6,2.4,52
59122.5,27.5,0.6,2.4,52
-590.3,31.7,0.6,2.4,52
646.9,44.9,0.6,2.4,52
2021.5,11.4,0.6,2.4,52
4440.9,47.9,0.6,2.4,52
5815.6,9.3,0.6,2.4,52
7190.2,34.0,0.6,2.4,52
8399.9,21.9,0.6,2.4,52
9747.1,19.1,0.6,2.4,52
11011.7,5.7,0.6,2.4,52
12221.4,63.4,0.6,2.4,52
13486.1,32.1,0.6,2.4,52
14805.8,109.8,0.6,2.4,52
16180.4,125.4,0.6,2.4,52
17527.6,89.2,0.6,2.4,52
18902.2,47.9,0.6,2.4,52
20194.4,0.4,0.6,2.4,52
21541.6,36.6,0.6,2.4,52
22833.7,5.9,0.6,2.4,52
24208.4,58.4,0.6,2.4,52
25390.6,21.6,0.6,2.4,52
26682.7,2.7,0.6,2.4,52
28029.9,61.9,0.6,2.4,52
29404.6,13.3,0.6,2.4,52
30751.7,46.7,0.6,2.4,52
31961.4,37.4,0.6,2.4,52
33253.6,8.6,0.6,2.4,52
34463.3,-1002.7,0.6,2.4,52
35645.5,-1430.5,0.6,2.4,52
36965.1,111.1,0.6,2.4,52
38257.3,55.9,0.6,2.4,52
39439.5,106.4,0.6,2.4,52
40704.2,245.3,0.6,2.4,52
42051.3,103.3,0.6,2.4,52
43261.0,14.9,0.6,2.4,52
44635.7,15.7,0.6,2.4,52
46010.3,10.3,0.6,2.4,52
47385.0,5.0,0.6,2.4,52
48649.7,29.4,0.6,2.4,52
49886.8,45.8,0.6,2.4,52
51261.5,98.6,0.6,2.4,52
52553.7,136.7,0.6,2.4,52
53928.3,16.3,0.6,2.4,52
55248.0,2.0,0.6,2.4,52
56457.7,-720.3,0.6,2.4,52
420.3,-1709.7,0.6,2.4,52
1630.0,9.8,0.6,2.4,52
2922.2,93.2,0.6,2.4,52
4104.4,117.4,0.6,2.4,52
5424.1,91.9,0.6,2.4,52
6798.7,121.7,0.6,2.4,52
8063.4,17.4,0.6,2.4,52
9245.6,47.6,0.6,2.4,52
10592.8,17.8,0.6,2.4,52
11967.4,16.4,0.6,2.4,52
13342.1,57.1,0.6,2.4,52
14551.7,97.8,0.6,2.4,52
15733.9,38.9,0.6,2.4,52
17026.1,21.7,0.6,2.4,52
18318.3,42.3,0.6,2.4,52
19500.5,42.5,0.6,2.4,52
20875.1,121.1,0.6,2.4,52
22194.8,36.8,0.6,2.4,52
23404.5,-1081.5,0.6,2.4,52
24641.7,-2420.3,0.6,2.4,52
25851.4,3.4,0.6,2.4,52
27226.0,-1952.0,0.6,2.4,52
28435.7,70.4,0.6,2.4,52
29700.4,62.4,0.6,2.4,52
30992.6,89.6,0.6,2.4,52
32284.7,1.1,0.6,2.4,52
33549.4,1.4,0.6,2.4,52
34924.1,13.1,0.6,2.4,52
36216.2,-68.8,0.6,2.4,52
37508.4,-547.6,0.6,2.4,52
38800.6,8.6,0.6,2.4,52
40147.7,67.7,0.6,2.4,52
41467.4,30.9,0.6,2.4,52
42732.1,65.3,0.6,2.4,52
43996.7,52.7,0.6,2.4,52
45316.4,-559.6,0.6,2.4,52
46663.6,52.6,0.6,2.4,52
47900.8,-1747.2,0.6,2.4,52
49247.9,-1435.1,0.6,2.4,52
50485.1,112.1,0.6,2.4,52
51859.7,26.7,0.6,2.4,52
53096.9,21.9,0.6,2.4,52
54361.6,30.4,0.6,2.4,52
55543.8,97.0,0.6,2.4,52
56836.0,78.6,0.6,2.4,52
58210.6,16.6,0.6,2.4,52
59420.3,128.3,0.6,2.4,52
60712.5,24.5,0.6,2.4,52
1136.7,51.2,0.6,2.4,52
2373.9,78.9,0.6,2.4,52
3556.1,1.1,0.6,2.4,52
4930.7,83.2,0.6,2.4,52
6167.9,1.5,0.6,2.4,52
7377.6,74.2,0.6,2.4,52
8724.7,-626.3,0.6,2.4,52
10071.9,-843.1,0.6,2.4,52
12628.8,82.8,0.6,2.4,52
13920.9,34.4,0.6,2.4,52
15268.1,13.1,0.6,2.4,52
16587.7,72.7,0.6,2.4,52
17934.9,4.9,0.6,2.4,52
19117.1,13.8,0.6,2.4,52
20409.3,18.3,0.6,2.4,52
21701.4,22.4,0.6,2.4,52
22993.6,106.6,0.6,2.4,52
24285.8,39.8,0.6,2.4,52
25578.0,90.0,0.6,2.4,52
26815.1,175.1,0.6,2.4,52
28162.3,137.3,0.6,2.4,52
29536.9,114.9,0.6,2.4,52
30911.6,3.0,0.6,2.4,52
32093.8,14.9,0.6,2.4,52
33468.4,-101.6,0.6,2.4,52
34733.1,2.1,0.6,2.4,52
35997.8,26.4,0.6,2.4,52
37317.5,90.5,0.6,2.4,52
38609.6,94.6,0.6,2.4,52
39984.3,9.6,0.6,2.4,52
41331.4,66.4,0.6,2.4,52
42706.1,5.1,0.6,2.4,52
43915.8,16.1,0.6,2.4,52
45235.5,100.5,0.6,2.4,52
46472.6,-1472.4,0.6,2.4,52
47709.8,63.8,0.6,2.4,52
48892.0,4.0,0.6,2.4,52
50239.2,19.3,0.6,2.4,52
51421.4,101.6,0.6,2.4,52
52796.0,21.0,0.6,2.4,52
54170.7,15.7,0.6,2.4,52
55490.3,51.1,0.6,2.4,52
56837.5,2.5,0.6,2.4,52
58212.1,55.1,0.6,2.4,52
59586.8,33.8,0.6,2.4,52
857.0,26.1,0.6,2.4,52
2094.2,6.2,0.6,2.4,52
3303.9,7.9,0.6,2.4,52
4596.0,42.0,0.6,2.4,52
5778.2,76.6,0.6,2.4,52
7070.4,-1009.6,0.6,2.4,52
8252.6,17.1,0.6,2.4,52
9489.8,57.8,0.6,2.4,52
10672.0,7.0,0.6,2.4,52
12046.6,85.1,0.6,2.4,52
13228.8,70.8,0.6,2.4,52
14521.0,103.0,0.6,2.4,52
15895.7,73.7,0.6,2.4,52
17105.3,32.3,0.6,2.4,52
18342.5,4.5,0.6,2.4,52
19607.2,27.2,0.6,2.4,52
20954.4,28.8,0.6,2.4,52
22246.5,-691.5,0.6,2.4,52
23593.7,11.7,0.6,2.4,52
24913.4,14.2,0.6,2.4,52
26123.0,5.0,0.6,2.4,52
27387.7,9.7,0.6,2.4,52
28569.9,39.9,0.6,2.4,52
29834.6,-601.4,0.6,2.4,52
31071.8,57.8,0.6,2.4,52
32254.0,70.0,0.6,2.4,52
33628.6,-2419.4,0.6,2.4,52
34810.8,96.0,0.6,2.4,52
36158.0,47.8,0.6,2.4,52
37477.7,49.7,0.6,2.4,52
38714.8,21.8,0.6,2.4,52
40089.5,3.5,0.6,2.4,52
41271.7,2.7,0.6,2.4,52
42508.9,28.9,0.6,2.4,52
43773.6,8.0,0.6,2.4,52
45065.7,66.1,0.6,2.4,52
46385.4,33.4,0.6,2.4,52
47760.0,32.7,0.6,2.4,52
48942.2,14.2,0.6,2.4,52
50289.4,73.4,0.6,2.4,52
51471.6,117.6,0.6,2.4,52
52708.8,-83.2,0.6,2.4,52
53891.0,62.0,0.6,2.4,52
55155.7,-1822.3,0.6,2.4,52
56530.3,10.3,0.6,2.4,52
57795.0,123.0,0.6,2.4,52
59087.2,39.2,0.6,2.4,52
60379.3,41.5,0.6,2.4,52
263.5,20.9,0.6,2.4,52
1610.6,19.6,0.6,2.4,52
2957.8,124.8,0.6,2.4,52
4222.5,-32.5,0.6,2.4,52
5459.7,70.7,0.6,2.4,52
6669.4,22.4,0.6,2.4,52
7989.0,80.0,0.6,2.4,52
9253.7,102.7,0.6,2.4,52
10435.9,240.9,0.6,2.4,52
11810.5,40.5,0.6,2.4,52
13020.2,17.2,0.6,2.4,52
14367.4,-283.6,0.6,2.4,52
15742.0,93.0,0.6,2.4,52
17034.2,-445.8,0.6,2.4,52
18353.9,40.9,0.6,2.4,52
19646.0,37.0,0.6,2.4,52
20938.2,31.2,0.6,2.4,52
22175.4,26.4,0.6,2.4,52
23440.1,6.7,0.6,2.4,52
24704.8,1.8,0.6,2.4,52
25996.9,15.9,0.6,2.4,52
27261.6,6.6,0.6,2.4,52
28553.8,10.8,0.6,2.4,52
29791.0,66.0,0.6,2.4,52
31165.6,63.6,0.6,2.4,52
32347.8,-2405.2,0.6,2.4,52
33722.5,127.5,0.6,2.4,52
34987.1,102.2,0.6,2.4,52
36251.8,136.8,0.6,2.4,52
37461.5,-189.5,0.6,2.4,52
38698.7,9.7,0.6,2.4,52
39880.9,12.9,0.6,2.4,52
41255.5,85.5,0.6,2.4,52
42602.7,7.7,0.6,2.4,52
