TOA,Delta TOA,PW,power,angle
412.4,51.4,0.5,1.9,37
771.1,12.1,0.5,1.9,37
1579.3,39.3,0.5,1.9,37
1914.3,14.3,0.5,1.9,37
2320.4,89.4,0.5,1.9,37
2663.3,43.3,0.5,1.9,37
3057.5,5.5,0.5,1.9,37
3392.6,7.6,0.5,1.9,37
3723.7,-600.3,0.5,1.9,37
4078.5,81.5,0.5,1.9,37
4437.2,-208.8,0.5,1.9,37
4803.8,185.8,0.5,1.9,37
5198.0,69.0,0.5,1.9,37
5529.1,78.1,0.5,1.9,37
5887.9,27.9,0.5,1.9,37
6230.8,55.8,0.5,1.9,37
6593.5,15.5,0.5,1.9,37
6944.3,44.3,0.5,1.9,37
7705.1,23.1,0.5,1.9,37
8048.1,44.1,0.5,1.9,37
8402.9,9.0,0.5,1.9,37
8769.5,74.5,0.5,1.9,37
9175.5,-70.5,0.5,1.9,37
9557.9,38.3,0.5,1.9,37
9896.9,-315.1,0.5,1.9,37
10299.0,137.0,0.5,1.9,37
10677.4,50.1,0.5,1.9,37
11075.5,-102.5,0.5,1.9,37
11438.2,-61.8,0.5,1.9,37
11777.2,67.2,0.5,1.9,37
12163.5,-302.5,0.5,1.9,37
12506.5,-281.5,0.5,1.9,37
12904.6,24.6,0.5,1.9,37
13239.7,-836.3,0.5,1.9,37
13633.9,-1730.1,0.5,1.9,37
14008.4,100.2,0.5,1.9,37
14398.6,-1609.4,0.5,1.9,37
14773.1,-1878.9,0.5,1.9,37
15159.4,-2136.6,0.5,1.9,37
15545.8,27.2,0.5,1.9,37
15896.6,199.6,0.5,1.9,37
16227.7,104.2,0.5,1.9,37
16566.7,-2178.3,0.5,1.9,37
16913.6,102.8,0.5,1.9,37
17311.8,80.6,0.5,1.9,37
17702.0,-1273.0,0.5,1.9,37
18041.0,48.0,0.5,1.9,37
18376.1,19.1,0.5,1.9,37
18750.6,245.6,0.5,1.9,37
19152.7,17.7,0.5,1.9,37
19929.3,34.3,0.5,1.9,37
20319.5,79.5,0.5,1.9,37
20654.6,22.3,0.5,1.9,37
21044.9,46.9,0.5,1.9,37
21407.5,17.5,0.5,1.9,37
21778.1,43.1,0.5,1.9,37
22160.4,10.4,0.5,1.9,37
22527.0,33.0,0.5,1.9,37
22862.1,23.1,0.5,1.9,37
23244.5,60.5,0.5,1.9,37
23650.5,6.5,0.5,1.9,37
24013.2,18.2,0.5,1.9,37
24344.3,79.3,0.5,1.9,37
24742.4,-166.6,0.5,1.9,37
25124.8,-267.2,0.5,1.9,37
25463.8,-411.2,0.5,1.9,37
25865.9,133.9,0.5,1.9,37
26216.8,19.8,0.5,1.9,37
26563.7,44.7,0.5,1.9,37
26910.5,35.5,0.5,1.9,37
27249.6,59.6,0.5,1.9,37
27588.6,191.6,0.5,1.9,37
27951.2,140.2,0.5,1.9,37
28286.3,38.5,0.5,1.9,37
28676.6,18.6,0.5,1.9,37
29074.7,2.7,0.5,1.9,37
29417.7,15.1,0.5,1.9,37
29819.7,149.7,0.5,1.9,37
30178.5,186.5,0.5,1.9,37
30584.5,64.5,0.5,1.9,37
30978.7,20.7,0.5,1.9,37
31361.1,81.1,0.5,1.9,37
31719.8,70.7,0.5,1.9,37
32086.4,162.4,0.5,1.9,37
32476.7,66.7,0.5,1.9,37
32855.1,13.1,0.5,1.9,37
33229.6,17.6,0.5,1.9,37
33608.0,46.0,0.5,1.9,37
33939.1,20.4,0.5,1.9,37
34270.3,-229.7,0.5,1.9,37
34672.3,66.3,0.5,1.9,37
35054.7,-89.3,0.5,1.9,37
35389.8,-398.2,0.5,1.9,37
35756.4,57.9,0.5,1.9,37
36138.8,-615.2,0.5,1.9,37
36525.1,-1194.9,0.5,1.9,37
36868.0,-1818.0,0.5,1.9,37
37274.1,-1733.9,0.5,1.9,37
37664.3,-1665.7,0.5,1.9,37
38003.3,139.3,0.5,1.9,37
38385.7,89.7,0.5,1.9,37
38768.1,-1481.9,0.5,1.9,37
39103.2,6.2,0.5,1.9,37
39493.4,189.4,0.5,1.9,37
39867.9,149.9,0.5,1.9,37
40238.4,106.4,0.5,1.9,37
40644.5,49.5,0.5,1.9,37
41022.9,62.9,0.5,1.9,37
41373.7,88.7,0.5,1.9,37
41740.4,110.4,0.5,1.9,37
42146.4,56.4,0.5,1.9,37
42552.4,2.4,0.5,1.9,37
42899.3,49.3,0.5,1.9,37
43234.4,2.8,0.5,1.9,37
43640.4,32.4,0.5,1.9,37
43975.5,22.5,0.5,1.9,37
44318.4,20.4,0.5,1.9,37
44653.5,10.5,0.5,1.9,37
45004.3,30.3,0.5,1.9,37
45351.2,18.2,0.5,1.9,37
45690.2,14.2,0.5,1.9,37
46037.1,60.1,0.5,1.9,37
46427.4,121.4,0.5,1.9,37
46766.4,82.4,0.5,1.9,37
47156.7,52.7,0.5,1.9,37
47487.8,54.2,0.5,1.9,37
47850.5,102.5,0.5,1.9,37
48228.9,-2.1,0.5,1.9,37
48634.9,-79.1,0.5,1.9,37
48981.8,106.8,0.5,1.9,37
49320.8,44.8,0.5,1.9,37
49663.8,99.8,0.5,1.9,37
50022.5,20.5,0.5,1.9,37
50397.0,27.0,0.5,1.9,37
50728.1,36.1,0.5,1.9,37
51067.1,7.1,0.5,1.9,37
51421.9,3.9,0.5,1.9,37
51827.9,123.9,0.5,1.9,37
52230.0,191.0,0.5,1.9,37
52608.4,130.1,0.5,1.9,37
52963.2,293.2,0.5,1.9,37
53369.3,55.3,0.5,1.9,37
53712.2,76.2,0.5,1.9,37
