TOA,Delta TOA,PW,power,angle
127.0,58.0,0.3,1.4,3
244.0,37.0,0.3,1.4,3
361.0,16.0,0.3,1.4,3
478.0,64.0,0.3,1.4,3
595.0,21.1,0.3,1.4,3
712.0,22.0,0.3,1.4,3
829.0,1.0,0.3,1.4,3
946.0,49.0,0.3,1.4,3
1063.0,28.0,0.3,1.4,3
1180.0,7.0,0.3,1.4,3
1252.0,10.0,0.3,1.4,3
1324.0,13.0,0.3,1.4,3
1396.0,16.0,0.3,1.4,3
1468.0,19.0,0.3,1.4,3
1540.0,22.0,0.3,1.4,3
1612.0,25.0,0.3,1.4,3
1684.0,28.0,0.3,1.4,3
1756.0,31.0,0.3,1.4,3
1828.0,34.0,0.3,1.4,3
1900.0,37.0,0.3,1.4,3
2044.0,43.0,0.3,1.4,3
2188.0,118.0,0.3,1.4,3
2332.0,11.6,0.3,1.4,3
2476.0,84.0,0.3,1.4,3
2620.0,67.0,0.3,1.4,3
2764.0,29.6,0.3,1.4,3
2908.0,33.0,0.3,1.4,3
3052.0,16.0,0.3,1.4,3
3196.0,138.5,0.3,1.4,3
3340.0,9.0,0.3,1.4,3
3385.0,27.0,0.3,1.4,3
3430.0,37.4,0.3,1.4,3
3745.0,21.3,0.3,1.4,3
3997.0,52.9,0.3,1.4,3
4204.0,125.5,0.3,1.4,3
4618.0,161.2,0.3,1.4,3
4825.0,18.0,0.3,1.4,3
5032.0,33.4,0.3,1.4,3
5239.0,41.0,0.3,1.4,3
5446.0,127.3,0.3,1.4,3
5653.0,41.0,0.3,1.4,3
5860.0,87.0,0.3,1.4,3
6175.0,32.6,0.3,1.4,3
6490.0,73.0,0.3,1.4,3
6805.0,66.0,0.3,1.4,3
7120.0,36.0,0.3,1.4,3
7435.0,29.0,0.3,1.4,3
7750.0,22.0,0.3,1.4,3
8065.0,15.0,0.3,1.4,3
8380.0,100.0,0.3,1.4,3
8695.0,93.0,0.3,1.4,3
9010.0,62.3,0.3,1.4,3
9298.0,47.8,0.3,1.4,3
9586.0,28.1,0.3,1.4,3
10018.0,121.1,0.3,1.4,3
10162.0,82.5,0.3,1.4,3
10306.0,7.0,0.3,1.4,3
10450.0,17.6,0.3,1.4,3
10576.0,42.0,0.3,1.4,3
10702.0,24.6,0.3,1.4,3
11080.0,4.5,0.3,1.4,3
11206.0,30.9,0.3,1.4,3
11458.0,19.8,0.3,1.4,3
11710.0,40.4,0.3,1.4,3
11827.0,49.8,0.3,1.4,3
12178.0,14.5,0.3,1.4,3
12295.0,30.3,0.3,1.4,3
12529.0,22.5,0.3,1.4,3
12880.0,79.5,0.3,1.4,3
12952.0,47.4,0.3,1.4,3
13024.0,34.7,0.3,1.4,3
13384.0,23.6,0.3,1.4,3
13744.0,110.1,0.3,1.4,3
14032.0,23.6,0.3,1.4,3
14176.0,4.5,0.3,1.4,3
14464.0,20.0,0.3,1.4,3
14896.0,122.9,0.3,1.4,3
15040.0,42.2,0.3,1.4,3
15175.0,15.6,0.3,1.4,3
15697.0,115.3,0.3,1.4,3
15904.0,7.4,0.3,1.4,3
16318.0,90.3,0.3,1.4,3
16732.0,72.7,0.3,1.4,3
