TOA,Delta TOA,PW,power,angle
573.9,21.9,0.4,1.6,43
1115.7,11.7,0.4,1.6,43
1687.6,3.6,0.4,1.6,43
2229.4,41.4,0.4,1.6,43
2783.2,19.2,0.4,1.6,43
3331.0,134.0,0.4,1.6,43
3890.9,-594.1,0.4,1.6,43
4456.8,19.6,0.4,1.6,43
4998.6,30.6,0.4,1.6,43
5558.4,29.3,0.4,1.6,43
6142.4,47.4,0.4,1.6,43
6702.2,8.8,0.4,1.6,43
7256.1,34.1,0.4,1.6,43
7840.0,20.0,0.4,1.6,43
8393.9,13.9,0.4,1.6,43
8947.7,23.7,0.4,1.6,43
9519.6,-48.4,0.4,1.6,43
10079.5,61.5,0.4,1.6,43
10627.3,51.3,0.4,1.6,43
11175.1,95.1,0.4,1.6,43
12264.7,86.7,0.4,1.6,43
12800.5,-631.5,0.4,1.6,43
13360.4,-1037.6,0.4,1.6,43
13908.2,-1777.8,0.4,1.6,43
14444.0,45.4,0.4,1.6,43
14997.8,101.8,0.4,1.6,43
15581.7,35.9,0.4,1.6,43
16123.5,-2506.5,0.4,1.6,43
16659.3,92.6,0.4,1.6,43
17231.2,-1628.8,0.4,1.6,43
17803.1,101.1,0.4,1.6,43
18357.0,167.0,0.4,1.6,43
18892.7,72.7,0.4,1.6,43
19470.7,20.7,0.4,1.6,43
20018.5,8.5,0.4,1.6,43
20584.4,114.4,0.4,1.6,43
21120.1,75.2,0.4,1.6,43
21668.0,2.0,0.4,1.6,43
22227.8,9.8,0.4,1.6,43
22781.7,1.7,0.4,1.6,43
23329.5,7.5,0.4,1.6,43
23883.3,5.3,0.4,1.6,43
24419.1,73.1,0.4,1.6,43
24960.9,-270.1,0.4,1.6,43
25496.7,32.9,0.4,1.6,43
26050.5,14.5,0.4,1.6,43
26604.4,8.4,0.4,1.6,43
27164.2,-642.8,0.4,1.6,43
27712.0,108.0,0.4,1.6,43
28247.8,22.8,0.4,1.6,43
28819.7,23.7,0.4,1.6,43
29385.6,37.6,0.4,1.6,43
29921.4,31.4,0.4,1.6,43
30511.3,197.3,0.4,1.6,43
31101.3,122.6,0.4,1.6,43
31649.1,47.1,0.4,1.6,43
32221.0,126.0,0.4,1.6,43
32756.8,58.8,0.4,1.6,43
33340.7,66.7,0.4,1.6,43
33918.7,62.7,0.4,1.6,43
34478.5,124.5,0.4,1.6,43
35068.5,13.8,0.4,1.6,43
35616.3,-493.7,0.4,1.6,43
36200.2,37.2,0.4,1.6,43
36736.0,-1628.0,0.4,1.6,43
37307.9,19.9,0.4,1.6,43
37849.7,129.7,0.4,1.6,43
38433.7,48.0,0.4,1.6,43
38969.4,-1510.6,0.4,1.6,43
39535.3,15.3,0.4,1.6,43
40113.2,188.2,0.4,1.6,43
40697.2,52.7,0.4,1.6,43
41257.0,87.0,0.4,1.6,43
41841.0,96.0,0.4,1.6,43
42394.8,74.8,0.4,1.6,43
42930.6,12.6,0.4,1.6,43
43478.4,8.4,0.4,1.6,43
44050.3,28.3,0.4,1.6,43
44622.2,48.2,0.4,1.6,43
45164.0,46.0,0.4,1.6,43
45735.9,2.5,0.4,1.6,43
46295.8,115.8,0.4,1.6,43
46849.6,39.6,0.4,1.6,43
47433.6,7.6,0.4,1.6,43
47987.4,7.4,0.4,1.6,43
48529.2,-23.8,0.4,1.6,43
49119.2,83.2,0.4,1.6,43
49691.1,11.1,0.4,1.6,43
50226.8,40.8,0.4,1.6,43
50762.6,24.6,0.4,1.6,43
51352.6,141.6,0.4,1.6,43
51912.4,80.4,0.4,1.6,43
52478.3,25.3,0.4,1.6,43
53056.2,64.2,0.4,1.6,43
53592.0,222.7,0.4,1.6,43
54169.9,126.6,0.4,1.6,43
54723.8,121.8,0.4,1.6,43
55313.7,67.7,0.4,1.6,43
55879.6,69.6,0.4,1.6,43
56433.5,47.5,0.4,1.6,43
56975.3,-202.7,0.4,1.6,43
57511.0,9.0,0.4,1.6,43
58052.8,-413.2,0.4,1.6,43
58588.6,-521.4,0.4,1.6,43
59130.4,7.9,0.4,1.6,43
59696.3,16.3,0.4,1.6,43
-681.8,-1141.8,0.4,1.6,43
-103.9,14.1,0.4,1.6,43
443.9,129.9,0.4,1.6,43
1003.8,23.8,0.4,1.6,43
1569.7,-270.3,0.4,1.6,43
2111.5,41.5,0.4,1.6,43
2671.3,26.3,0.4,1.6,43
3243.2,23.2,0.4,1.6,43
3779.0,7.0,0.4,1.6,43
4369.0,14.0,0.4,1.6,43
4916.8,40.8,0.4,1.6,43
5500.7,49.7,0.4,1.6,43
6054.6,120.6,0.4,1.6,43
6614.4,36.4,0.4,1.6,43
7156.2,20.2,0.4,1.6,43
7722.1,10.1,0.4,1.6,43
8300.0,48.0,0.4,1.6,43
8890.0,8.0,0.4,1.6,43
9455.9,78.9,0.4,1.6,43
10045.8,83.8,0.4,1.6,43
10581.6,1.6,0.4,1.6,43
11141.5,9.5,0.4,1.6,43
11713.4,61.1,0.4,1.6,43
