TOA,Delta TOA,PW,power,angle
89.0,0.0,0.4,1.7,34
227.0,55.0,0.4,1.7,34
434.0,21.6,0.4,1.7,34
503.0,34.0,0.4,1.7,34
779.0,7.9,0.4,1.7,34
986.0,4.0,0.4,1.7,34
1193.0,19.8,0.4,1.7,34
1607.0,4.0,0.4,1.7,34
1814.0,49.0,0.4,1.7,34
1952.0,37.7,0.4,1.7,34
2090.0,28.0,0.4,1.7,34
2412.0,91.6,0.4,1.7,34
2734.0,70.7,0.4,1.7,34
3217.0,21.0,0.4,1.7,34
3378.0,20.0,0.4,1.7,34
3539.0,146.4,0.4,1.7,34
3700.0,45.0,0.4,1.7,34
3861.0,137.3,0.4,1.7,34
4183.0,15.0,0.4,1.7,34
4505.0,67.8,0.4,1.7,34
4827.0,23.2,0.4,1.7,34
4988.0,37.0,0.4,1.7,34
5310.0,62.0,0.4,1.7,34
5632.0,102.9,0.4,1.7,34
5793.0,32.0,0.4,1.7,34
5954.0,66.1,0.4,1.7,34
6276.0,45.2,0.4,1.7,34
6437.0,55.0,0.4,1.7,34
6598.0,4.5,0.4,1.7,34
6920.0,79.0,0.4,1.7,34
6966.0,21.7,0.4,1.7,34
7334.0,19.1,0.4,1.7,34
7380.0,26.0,0.4,1.7,34
7748.0,42.9,0.4,1.7,34
7978.0,3.0,0.4,1.7,34
8070.0,21.9,0.4,1.7,34
8162.0,25.0,0.4,1.7,34
8622.0,188.0,0.4,1.7,34
8944.0,174.5,0.4,1.7,34
9266.0,90.5,0.4,1.7,34
9588.0,20.0,0.4,1.7,34
9910.0,13.1,0.4,1.7,34
10232.0,205.0,0.4,1.7,34
10554.0,14.0,0.4,1.7,34
10876.0,198.6,0.4,1.7,34
11198.0,37.0,0.4,1.7,34
11520.0,81.8,0.4,1.7,34
11842.0,64.8,0.4,1.7,34
12808.0,54.0,0.4,1.7,34
13130.0,214.0,0.4,1.7,34
13452.0,212.3,0.4,1.7,34
13774.0,48.0,0.4,1.7,34
14096.0,87.6,0.4,1.7,34
14418.0,19.4,0.4,1.7,34
14740.0,231.0,0.4,1.7,34
15062.0,256.0,0.4,1.7,34
15384.0,65.0,0.4,1.7,34
15706.0,160.2,0.4,1.7,34
16028.0,88.0,0.4,1.7,34
16350.0,122.3,0.4,1.7,34
16672.0,105.3,0.4,1.7,34
16994.0,80.4,0.4,1.7,34
