TOA,Delta TOA,PW,power,angle
412.4,-547.6,0.5,1.9,37
771.1,-1148.9,0.5,1.9,37
1173.2,-2026.8,0.5,1.9,37
1579.3,-3220.7,0.5,1.9,37
1914.3,-3845.7,0.5,1.9,37
2320.4,-4079.6,0.5,1.9,37
2663.3,88.3,0.5,1.9,37
3057.5,-4302.5,0.5,1.9,37
3392.6,14.6,0.5,1.9,37
3723.7,23.7,0.5,1.9,37
4078.5,-3601.5,0.5,1.9,37
4437.2,-3562.8,0.5,1.9,37
4803.8,14.8,0.5,1.9,37
5198.0,-3442.0,0.5,1.9,37
5529.1,-3430.9,0.5,1.9,37
5887.9,94.9,0.5,1.9,37
6230.8,-3049.2,0.5,1.9,37
6593.5,49.5,0.5,1.9,37
6944.3,24.3,0.5,1.9,37
7314.9,-4525.1,0.5,1.9,37
7705.1,-6374.9,0.5,1.9,37
8048.1,-7631.9,0.5,1.9,37
8402.9,-8557.1,0.5,1.9,37
8769.5,147.5,0.5,1.9,37
9175.5,228.5,0.5,1.9,37
9557.9,291.9,0.5,1.9,37
9896.9,166.9,0.5,1.9,37
10299.0,67.0,0.5,1.9,37
10677.4,123.4,0.5,1.9,37
11075.5,199.5,0.5,1.9,37
11438.2,115.2,0.5,1.9,37
11777.2,157.2,0.5,1.9,37
12163.5,30.5,0.5,1.9,37
12506.5,-4773.5,0.5,1.9,37
12904.6,96.6,0.5,1.9,37
13239.7,26.7,0.5,1.9,37
13633.9,181.9,0.5,1.9,37
14008.4,234.4,0.5,1.9,37
14398.6,51.6,0.5,1.9,37
14773.1,33.1,0.5,1.9,37
15159.4,97.4,0.5,1.9,37
15545.8,161.8,0.5,1.9,37
15896.6,190.6,0.5,1.9,37
16227.7,125.7,0.5,1.9,37
16566.7,167.7,0.5,1.9,37
16913.6,1.6,0.5,1.9,37
17311.8,317.8,0.5,1.9,37
17702.0,7.0,0.5,1.9,37
18041.0,49.0,0.5,1.9,37
18376.1,-183.9,0.5,1.9,37
18750.6,-129.4,0.5,1.9,37
19152.7,26.7,0.5,1.9,37
19550.8,-609.2,0.5,1.9,37
19929.3,-870.7,0.5,1.9,37
20319.5,-800.5,0.5,1.9,37
20654.6,-1105.4,0.5,1.9,37
21044.9,94.9,0.5,1.9,37
21407.5,-992.5,0.5,1.9,37
21778.1,23.1,0.5,1.9,37
22160.4,-2799.6,0.5,1.9,37
22527.0,13.0,0.5,1.9,37
22862.1,-4017.9,0.5,1.9,37
23244.5,-4915.5,0.5,1.9,37
23650.5,-5469.5,0.5,1.9,37
24013.2,50.2,0.5,1.9,37
24344.3,-5095.7,0.5,1.9,37
24742.4,-5017.6,0.5,1.9,37
25124.8,-4955.2,0.5,1.9,37
25463.8,-4936.2,0.5,1.9,37
25865.9,131.9,0.5,1.9,37
26216.8,160.8,0.5,1.9,37
26563.7,24.7,0.5,1.9,37
26910.5,-4129.5,0.5,1.9,37
27249.6,66.6,0.5,1.9,37
27588.6,38.6,0.5,1.9,37
27951.2,-3728.8,0.5,1.9,37
28286.3,137.3,0.5,1.9,37
28676.6,-5243.4,0.5,1.9,37
29074.7,-6765.3,0.5,1.9,37
29417.7,-8342.3,0.5,1.9,37
29819.7,129.7,0.5,1.9,37
30178.5,166.5,0.5,1.9,37
30584.5,145.5,0.5,1.9,37
31361.1,61.1,0.5,1.9,37
31719.8,97.8,0.5,1.9,37
32086.4,54.4,0.5,1.9,37
